#Parameters = {B=44; D_M=5.208; Feed=26.3; Feed_real=-4.3; Groudmax=0; LPiste=4.459; Largeur=29; TermA=89; Zmax=0.09; Zmin=0}
#"Frequency / MHz"	"S1,1 [Magnitude / dB]"
#-----------------------------------------
759.59997558594	-1.3940058044516
760.00000000000	-1.4044102528418
760.40002441406	-1.4148632780317
760.79998779297	-1.4253689318719
761.20001220703	-1.4359280801882
761.59997558594	-1.4465415703412
762.00000000000	-1.4572134489334
762.40002441406	-1.4679437001024
762.79998779297	-1.4787367125475
763.20001220703	-1.4895922811815
763.59997558594	-1.5005132630118
764.00000000000	-1.5115021658218
764.40002441406	-1.5225615050721
764.79998779297	-1.5336936205199
765.20001220703	-1.5448993065417
765.59997558594	-1.5561820809300
766.00000000000	-1.5675455504679
766.40002441406	-1.5789899183890
766.79998779297	-1.5905194968731
767.20001220703	-1.6021352158179
767.59997558594	-1.6138420503768
768.00000000000	-1.6256404267989
768.40002441406	-1.6375327597886
768.79998779297	-1.6495235312314
769.20001220703	-1.6616154257330
769.59997558594	-1.6738098216990
770.00000000000	-1.6861102067001
770.40002441406	-1.6985195479842
770.79998779297	-1.7110407658508
771.20001220703	-1.7236769098695
771.59997558594	-1.7364309217132
772.00000000000	-1.7493053378414
772.40002441406	-1.7623030320176
772.79998779297	-1.7754278387592
773.20001220703	-1.7886833058181
773.59997558594	-1.8020711802692
774.00000000000	-1.8155952775183
774.40002441406	-1.8292594598600
774.79998779297	-1.8430643992576
775.20001220703	-1.8570169650972
775.59997558594	-1.8711175528057
776.00000000000	-1.8853708602340
776.40002441406	-1.8997796777422
776.79998779297	-1.9143478052416
777.20001220703	-1.9290782437867
777.59997558594	-1.9439748602389
778.00000000000	-1.9590402629609
778.40002441406	-1.9742782435490
778.79998779297	-1.9896922088222
779.20001220703	-2.0052858855807
779.59997558594	-2.0210627619824
780.00000000000	-2.0370257751743
780.40002441406	-2.0531799613200
780.79998779297	-2.0695270303904
781.20001220703	-2.0860719727361
781.59997558594	-2.1028176224393
782.00000000000	-2.1197674457356
782.40002441406	-2.1369254352568
782.79998779297	-2.1542954572795
783.20001220703	-2.1718814560363
783.59997558594	-2.1896870163658
784.00000000000	-2.2077146775001
784.40002441406	-2.2259692167515
784.79998779297	-2.2444548399282
785.20001220703	-2.2631747324081
785.59997558594	-2.2821316453847
786.00000000000	-2.3013316258818
786.40002441406	-2.3207771028669
786.79998779297	-2.3404718726945
787.20001220703	-2.3604193966686
787.59997558594	-2.3806249604183
788.00000000000	-2.4010928675815
788.40002441406	-2.4218242758415
788.79998779297	-2.4428257650821
789.20001220703	-2.4641004592494
789.59997558594	-2.4856514316379
790.00000000000	-2.5074833785460
790.40002441406	-2.5296022555271
790.79998779297	-2.5520085892090
791.20001220703	-2.5747086576046
791.59997558594	-2.5977057563627
792.00000000000	-2.6210054921697
792.40002441406	-2.6446108455933
792.79998779297	-2.6685254237966
793.20001220703	-2.6927536018633
793.59997558594	-2.7172999937863
794.00000000000	-2.7421693905569
794.40002441406	-2.7673652579883
794.79998779297	-2.7928922549238
795.20001220703	-2.8187536471006
795.59997558594	-2.8449563344298
796.00000000000	-2.8715021604364
796.40002441406	-2.8983959619945
796.79998779297	-2.9256427784635
797.20001220703	-2.9532478470567
797.59997558594	-2.9812142566806
798.00000000000	-3.0095472312684
798.40002441406	-3.0382509961594
798.79998779297	-3.0673300304918
799.20001220703	-3.0967896661057
799.59997558594	-3.1266345259850
800.00000000000	-3.1568681198082
800.40002441406	-3.1874960312223
800.79998779297	-3.2185234576347
801.20001220703	-3.2499548839569
801.59997558594	-3.2817956844928
802.00000000000	-3.3140492678101
802.40002441406	-3.3467219739450
802.79998779297	-3.3798190663916
803.20001220703	-3.4133443045458
803.59997558594	-3.4473045891696
804.00000000000	-3.4817041833286
804.40002441406	-3.5165463841353
804.79998779297	-3.5518404149785
805.20001220703	-3.5875885861380
805.59997558594	-3.6237971714940
806.00000000000	-3.6604727531826
806.40002441406	-3.6976197281045
806.79998779297	-3.7352434964155
807.20001220703	-3.7733495337086
807.59997558594	-3.8119461364040
808.00000000000	-3.8510352523048
808.40002441406	-3.8906262411300
808.79998779297	-3.9307240474655
809.20001220703	-3.9713335568092
809.59997558594	-4.0124617155778
810.00000000000	-4.0541147129587
810.40002441406	-4.0963000394514
810.79998779297	-4.1390218458623
811.20001220703	-4.1822889045537
811.59997558594	-4.2261067089054
812.00000000000	-4.2704819624764
812.40002441406	-4.3154216555639
812.79998779297	-4.3609337019951
813.20001220703	-4.4070230920932
813.59997558594	-4.4537000841322
814.00000000000	-4.5009684179402
814.40002441406	-4.5488381024691
814.79998779297	-4.5973150788586
815.20001220703	-4.6464091490249
815.59997558594	-4.6961259346745
816.00000000000	-4.7464749675274
816.40002441406	-4.7974633468724
816.79998779297	-4.8491003370585
817.20001220703	-4.9013927949266
817.59997558594	-4.9543515038330
818.00000000000	-5.0079849061781
818.40002441406	-5.0623008238577
818.79998779297	-5.1173092929388
819.20001220703	-5.1730187913220
819.59997558594	-5.2294391350567
820.00000000000	-5.2865804972649
820.40002441406	-5.3444524721370
820.79998779297	-5.4030659761897
821.20001220703	-5.4624304212741
821.59997558594	-5.5225565716975
822.00000000000	-5.5834565485552
822.40002441406	-5.6451399895550
822.79998779297	-5.7076178847509
823.20001220703	-5.7709036712995
823.59997558594	-5.8350092545403
824.00000000000	-5.8999449408073
824.40002441406	-5.9657255652364
824.79998779297	-6.0323608000073
825.20001220703	-6.0998669751321
825.59997558594	-6.1682562773111
826.00000000000	-6.2375429519851
826.40002441406	-6.3077396390819
826.79998779297	-6.3788626978669
827.20001220703	-6.4509274623342
827.59997558594	-6.5239465495665
828.00000000000	-6.5979385924448
