#Parameters = {B=55; Cut=0.5; D_M=8.1; Feed=35.7; Feed_real=-8.2; Groudmax=0; LPiste=5.4; Largeur=27; TermA=92; Zmax=0.152; Zmin=0}
#"Frequency / MHz"	"S1,1 [Magnitude / dB]"
#-----------------------------------------
776.00000000000	-2.4142931358744
776.40002441406	-2.4319648400984
776.79998779297	-2.4498001505401
777.20001220703	-2.4677993255439
777.59997558594	-2.4859653971875
778.00000000000	-2.5043014407288
778.40002441406	-2.5228078272625
778.79998779297	-2.5414883569618
779.20001220703	-2.5603441127739
779.59997558594	-2.5793769277833
780.00000000000	-2.5985907499847
780.40002441406	-2.6179867335009
780.79998779297	-2.6375682137621
781.20001220703	-2.6573343529124
781.59997558594	-2.6772906178062
782.00000000000	-2.6974383596980
782.40002441406	-2.7177796508867
782.79998779297	-2.7383158757521
783.20001220703	-2.7590534485047
783.59997558594	-2.7799888927927
784.00000000000	-2.8011287023638
784.40002441406	-2.8224737476823
784.79998779297	-2.8440263426438
785.20001220703	-2.8657895993417
785.59997558594	-2.8877652136985
786.00000000000	-2.9099571210373
786.40002441406	-2.9323656758977
786.79998779297	-2.9549956327805
787.20001220703	-2.9778467279452
787.59997558594	-3.0009231022605
788.00000000000	-3.0242275088926
788.40002441406	-3.0477627592686
788.79998779297	-3.0715302490801
789.20001220703	-3.0955329046810
789.59997558594	-3.1197737130764
790.00000000000	-3.1442557317575
790.40002441406	-3.1689805937015
790.79998779297	-3.1939514821799
791.20001220703	-3.2191709018373
791.59997558594	-3.2446421752316
792.00000000000	-3.2703671924582
792.40002441406	-3.2963486605494
792.79998779297	-3.3225901164219
793.20001220703	-3.3490936563957
793.59997558594	-3.3758622059888
794.00000000000	-3.4028987675363
794.40002441406	-3.4302064219640
794.79998779297	-3.4577883308642
795.20001220703	-3.4856446454304
795.59997558594	-3.5137825453970
796.00000000000	-3.5422023405207
796.40002441406	-3.5709067327910
796.79998779297	-3.5998992886516
797.20001220703	-3.6291852400905
797.59997558594	-3.6587636260557
798.00000000000	-3.6886414330401
798.40002441406	-3.7188186445357
798.79998779297	-3.7493000749597
799.20001220703	-3.7800874457775
799.59997558594	-3.8111857781006
800.00000000000	-3.8425969819181
800.40002441406	-3.8743254782339
800.79998779297	-3.9063733591189
801.20001220703	-3.9387436093480
801.59997558594	-3.9714417858077
802.00000000000	-4.0044694437738
802.40002441406	-4.0378299034643
802.79998779297	-4.0715281961622
803.20001220703	-4.1055661866879
803.59997558594	-4.1399483382153
804.00000000000	-4.1746775467909
804.40002441406	-4.2097576267060
804.79998779297	-4.2451925750769
805.20001220703	-4.2809864279357
805.59997558594	-4.3171416724757
806.00000000000	-4.3536634896425
806.40002441406	-4.3905545827951
806.79998779297	-4.4278195069287
807.20001220703	-4.4654620348782
807.59997558594	-4.5034861627844
808.00000000000	-4.5418958946344
808.40002441406	-4.5806945688249
808.79998779297	-4.6198890948340
809.20001220703	-4.6594795783904
809.59997558594	-4.6994740430495
810.00000000000	-4.7398745891891
810.40002441406	-4.7806860948426
810.79998779297	-4.8219126044704
811.20001220703	-4.8635601371400
811.59997558594	-4.9056312575639
812.00000000000	-4.9481323025240
812.40002441406	-4.9910669930253
812.79998779297	-5.0344401101893
813.20001220703	-5.0782575664909
813.59997558594	-5.1225225687206
814.00000000000	-5.1672413222668
814.40002441406	-5.2124192218835
814.79998779297	-5.2580599512061
815.20001220703	-5.3041701754711
815.59997558594	-5.3507547537487
816.00000000000	-5.3978189168453
816.40002441406	-5.4453688258901
816.79998779297	-5.4934108552332
817.20001220703	-5.5419467537917
817.59997558594	-5.5909871920615
818.00000000000	-5.6405360682152
818.40002441406	-5.6905995997901
818.79998779297	-5.7411831108335
819.20001220703	-5.7922935673269
819.59997558594	-5.8439381488942
820.00000000000	-5.8961212353804
820.40002441406	-5.9488503371931
820.79998779297	-6.0021338303281
821.20001220703	-6.0559772067225
821.59997558594	-6.1103874356923
822.00000000000	-6.1653720733125
822.40002441406	-6.2209381105290
822.79998779297	-6.2770940140774
823.20001220703	-6.3338459107542
823.59997558594	-6.3912020446603
824.00000000000	-6.4491704688705
824.40002441406	-6.5077596264871
824.79998779297	-6.5669771992124
825.20001220703	-6.6268325136609
825.59997558594	-6.6873335173285
826.00000000000	-6.7484892122296
826.40002441406	-6.8103087184888
826.79998779297	-6.8728007915748
827.20001220703	-6.9359763132355
827.59997558594	-6.9998434049062
